timestamp,run,function,duration,prompt_tokens,completion_tokens,model,max_tokens,temperature
69090.08279204369,59,callOpenai,1053.1375839710236,11,1,gpt-4,1,0.01
69706.80116701126,60,callOpenai,616.4419589042664,11,1,gpt-4,1,0.01
70013.72337508202,60,callCommonbase,306.70495796203613,11,1,gpt-4,1,0.01
71167.11645793915,61,callOpenai,1152.9164998531342,11,1,gpt-4,1,0.01
71459.68808293343,61,callCommonbase,292.13495779037476,11,1,gpt-4,1,0.01
72879.359375,62,callOpenai,1419.2684578895569,11,1,gpt-4,1,0.01
73289.86395812035,62,callCommonbase,410.3117079734802,11,1,gpt-4,1,0.01
74313.58112502098,63,callOpenai,1023.45516705513,11,1,gpt-4,1,0.01
74519.2464170456,63,callCommonbase,205.3929591178894,11,1,gpt-4,1,0.01
75539.82829213142,64,callOpenai,1020.1665420532227,11,1,gpt-4,1,0.01
75847.09470796585,64,callCommonbase,307.05604100227356,11,1,gpt-4,1,0.01
76463.32845807076,65,callOpenai,616.0810830593109,11,1,gpt-4,1,0.01
76702.82958292961,65,callCommonbase,239.22299981117249,11,1,gpt-4,1,0.01
77178.43929195404,66,callCommonbase,475.36708402633667,11,1,gpt-4,1,0.01
77898.54212498665,66,callOpenai,719.8627500534058,11,1,gpt-4,1,0.01
78475.28958296776,67,callOpenai,576.4758749008179,11,1,gpt-4,1,0.01
78818.69895792007,67,callCommonbase,343.15987491607666,11,1,gpt-4,1,0.01
79127.75125002861,68,callCommonbase,308.640291929245,11,1,gpt-4,1,0.01
80254.56391692162,68,callOpenai,1126.651333808899,11,1,gpt-4,1,0.01
80665.648458004,69,callCommonbase,410.72645807266235,11,1,gpt-4,1,0.01
81145.1819999218,69,callOpenai,479.2456247806549,11,1,gpt-4,1,0.01
81482.08408308029,70,callCommonbase,336.62083315849304,11,1,gpt-4,1,0.01
82012.14208292961,70,callOpenai,529.7668747901917,11,1,gpt-4,1,0.01
82618.84787511826,71,callOpenai,606.5011250972748,11,1,gpt-4,1,0.01
82917.18129205704,71,callCommonbase,298.0622091293335,11,1,gpt-4,1,0.01
83639.42262506485,72,callOpenai,721.9075419902802,11,1,gpt-4,1,0.01
84039.88937497139,72,callCommonbase,400.2534170150757,11,1,gpt-4,1,0.01
84318.976583004,73,callCommonbase,278.90379095077515,11,1,gpt-4,1,0.01
84966.02220797539,73,callOpenai,646.8339998722076,11,1,gpt-4,1,0.01
86085.62383294106,74,callOpenai,1119.279541015625,11,1,gpt-4,1,0.01
86497.55608296394,74,callCommonbase,411.7195408344269,11,1,gpt-4,1,0.01
86805.02579212189,75,callCommonbase,307.2674171924591,11,1,gpt-4,1,0.01
87419.42520809174,75,callOpenai,614.0872910022736,11,1,gpt-4,1,0.01
87999.50133299828,76,callOpenai,579.7791659832001,11,1,gpt-4,1,0.01
89019.67154192924,76,callCommonbase,1020.019917011261,11,1,gpt-4,1,0.01
89471.25279211998,77,callCommonbase,451.2155840396881,11,1,gpt-4,1,0.01
90594.12870812416,77,callOpenai,1122.640958070755,11,1,gpt-4,1,0.01
91515.69383311272,78,callOpenai,921.3000001907349,11,1,gpt-4,1,0.01
91806.0815000534,78,callCommonbase,290.24795794487,11,1,gpt-4,1,0.01
92131.25641703606,79,callCommonbase,324.8442919254303,11,1,gpt-4,1,0.01
93156.0038330555,79,callOpenai,1024.465166091919,11,1,gpt-4,1,0.01
93462.55879211426,80,callCommonbase,306.10745906829834,11,1,gpt-4,1,0.01
94101.03683304787,80,callOpenai,638.310250043869,11,1,gpt-4,1,0.01
94792.27508306503,81,callOpenai,691.0348751544952,11,1,gpt-4,1,0.01
95031.56783294678,81,callCommonbase,239.09166598320007,11,1,gpt-4,1,0.01
95405.93050003052,82,callCommonbase,374.0575830936432,11,1,gpt-4,1,0.01
96123.91883301735,82,callOpenai,717.821583032608,11,1,gpt-4,1,0.01
96839.19379210472,83,callOpenai,714.9522919654846,11,1,gpt-4,1,0.01
97150.19208312035,83,callCommonbase,310.8805410861969,11,1,gpt-4,1,0.01
97424.3089170456,84,callCommonbase,273.80741691589355,11,1,gpt-4,1,0.01
98272.95120811462,84,callOpenai,848.3470830917358,11,1,gpt-4,1,0.01
99401.30041694641,85,callOpenai,1128.1424589157104,11,1,gpt-4,1,0.01
99648.44408297539,85,callCommonbase,246.91983294487,11,1,gpt-4,1,0.01
99880.24729204178,86,callCommonbase,231.54100012779236,11,1,gpt-4,1,0.01
100864.42270803452,86,callOpenai,983.9237909317017,11,1,gpt-4,1,0.01
101244.38708305359,87,callCommonbase,379.51720809936523,11,1,gpt-4,1,0.01
101688.5952501297,87,callOpenai,444.0101671218872,11,1,gpt-4,1,0.01
101959.26566696167,88,callCommonbase,270.44570899009705,11,1,gpt-4,1,0.01
102794.88233304024,88,callOpenai,835.3855409622192,11,1,gpt-4,1,0.01
103497.50475001335,89,callOpenai,702.2586250305176,11,1,gpt-4,1,0.01
103767.34804201126,89,callCommonbase,269.66158390045166,11,1,gpt-4,1,0.01
104367.98850011826,90,callOpenai,600.3872079849243,11,1,gpt-4,1,0.01
105407.74579191208,90,callCommonbase,1039.6144998073578,11,1,gpt-4,1,0.01
105747.91425013542,91,callCommonbase,339.97387504577637,11,1,gpt-4,1,0.01
106265.39683294296,91,callOpenai,517.3620829582214,11,1,gpt-4,1,0.01
106878.58962512016,92,callOpenai,612.888750076294,11,1,gpt-4,1,0.01
107295.93575000763,92,callCommonbase,417.14299988746643,11,1,gpt-4,1,0.01
107589.46837496758,93,callCommonbase,293.34824991226196,11,1,gpt-4,1,0.01
108513.15004205704,93,callOpenai,923.5591671466827,11,1,gpt-4,1,0.01
109129.24883294106,94,callOpenai,615.9178748130798,11,1,gpt-4,1,0.01
109433.91416692734,94,callCommonbase,304.42683386802673,11,1,gpt-4,1,0.01
109688.43875002861,95,callCommonbase,254.32800006866455,11,1,gpt-4,1,0.01
110254.85424995422,95,callOpenai,566.291916847229,11,1,gpt-4,1,0.01
110665.31041693687,96,callCommonbase,410.1576249599457,11,1,gpt-4,1,0.01
111585.5589170456,96,callOpenai,920.131875038147,11,1,gpt-4,1,0.01
111892.89475011826,97,callCommonbase,307.03604197502136,11,1,gpt-4,1,0.01
113251.30174994469,97,callOpenai,1358.322916984558,11,1,gpt-4,1,0.01
113530.86733293533,98,callCommonbase,279.131915807724,11,1,gpt-4,1,0.01
114388.08074998856,98,callOpenai,857.1201250553131,11,1,gpt-4,1,0.01
115171.59233307838,99,callOpenai,783.3225409984589,11,1,gpt-4,1,0.01
115482.44770812988,99,callCommonbase,310.69379115104675,11,1,gpt-4,1,0.01
